projectname,classification,commenttext
Groovy,DESIGN,'//  todo will \'super\' be allowed in non-parentheses method call styles? '
Groovy,DEFECT,'// todo AntlrParserPlugin: Unexpected node type: \'.\' found when expecting type: an identifier   fails after parser '
Groovy,DESIGN,'//                     TODO: should be better check for case when only diff in modifiers can be SYNTHETIC flag                      && method.getModifiers() == aMethod.getModifiers() '
Groovy,DESIGN,'//  TODO: checking for isThisOrSuper is enough for AttributeExpression but if this is moved into   visitAttributeOrProperty to handle attributes and properties equally then the extended check should be done '
Groovy,DOCUMENTATION,'// TODO: These are the arguments for -p and -i.  Why are we searching using Groovy script extensions?   Where is this documented? '
Groovy,IMPLEMENTATION,'//  TODO decide if we should support VOLATILE '
Groovy,DESIGN,'//  the groovy.compiler.strictNames system property is experimental and may change default value or be removed in a future version of Groovy '
Groovy,IMPLEMENTATION,'//  TODO: delete this constant? '
Groovy,DESIGN,'//  TODO track Deprecated usage and give a warning? '
Groovy,DESIGN,'//  fail early with a direct message if possible\') '
Groovy,DESIGN,'//  Java2Groovy produces a slightly different tree structure (TODO fix converter or java.g instead?) '
Groovy,DESIGN,'// TODO: maybe use a different bootstrap method since no arguments are needed here '
Groovy,IMPLEMENTATION,"'/*          * TODO : Enable auto \"".groovy\"" extension replacing here!         * http://cvs.groovy.codehaus.org/viewrep/groovy/groovy/groovy-core/src/main/groovy/servlet/GroovyServlet.java?r=1.10#l259          */'"
Groovy,DESIGN,'//  TODO: spread safe should be handled inside '
Groovy,DESIGN,'//  TODO: do we need to lock down things like: $ownClass '
Groovy,DESIGN,'//  todo : are there other import types that can be specified? '
Groovy,DESIGN,'//  TODO consider creating an element for this '
Groovy,DESIGN,'//  try to get a better error message location based on the property '
Groovy,TEST,'//  TODO: add more tests in here (is there a way to share snippets with SourcePrinterTest?) '
Groovy,DESIGN,'// TODO: create a WriteOnlyException class? '
Groovy,DESIGN,'//  TODO: if our code can never access inspect in this way it would be better '
Groovy,IMPLEMENTATION,'//  TODO: investigate the trait exclusion a bit further needed otherwise   CallMethodOfTraitInsideClosureAndClosureParamTypeInference fails saying   not static method can\'t be called from a static context '
Groovy,IMPLEMENTATION,'// TODO: need errors for write-only too! '
Groovy,DESIGN,'// TODO: optimize: add guard based on type Closure '
Groovy,DEFECT,'//  TODO fix '
Groovy,IMPLEMENTATION,'//  TODO remove? '
Groovy,DESIGN,'//  todo: should this be directly handled by getPlainNodeReference? '
Groovy,DESIGN,'// TODO: apply generics on parameter[0]?                                  storeType(pexp setter.getParameters()[0].getType()); '
Groovy,DESIGN,'// TODO: more than one lower bound for wildcards? '
Groovy,DEFECT,'//  BUG! exception in phase \'conversion\' in source unit \'Script1.groovy\' null   fails after parser '
Groovy,IMPLEMENTATION,'//  TODO: Add methods like addMetaConstructor addMetaAttribute addMetaAnnotation etc. '
Groovy,DESIGN,"'//  todo: above is not quite the spacing I would expect but good enough for now...   todo not yet implemented in parser: assertEquals(\""(new Outer()).super()\"" pretty(\""(new Outer()).super()\"")); '"
Groovy,DESIGN,'//  GROOVY-7316 : it is an apparently legal thing to allow this. It\'s not type safe '
Groovy,IMPLEMENTATION,'//  TODO handle ACC_SYNTHETIC for enum method parameters? '
Groovy,DESIGN,'//  TODO: change this exception type '
Groovy,DESIGN,'//  by default use GrapeIvy  TODO META-INF/services resolver? '
Groovy,DESIGN,'//  this is a limitation that must be removed in a future version   we cannot check generic type arguments if there are default parameters! '
Groovy,DESIGN,'//  todo : type inference on maps and lists if possible '
Groovy,DESIGN,'//  HACK: JavaStubGenerator could have snuck in a constructor we don\'t want '
Groovy,DESIGN,'// TODO: apply right generics here! '
Groovy,DESIGN,'// TODO: get the type\'s of the expressions to specify the   list type to List<X> if possible. '
Groovy,DESIGN,'//  TODO a better way to do this? '
Groovy,DESIGN,'//  TODO make @CS lookup smarter so that we don\'t need both these maps '
Groovy,DESIGN,'// TODO: that is just a quick prototype not the real thing! '
Groovy,IMPLEMENTATION,'//  TODO IllegalArgumentException for marginChar.length() > 1 ? Or support String as marker? '
Groovy,DESIGN,'// todo the spacing here is... unusual '
Groovy,DESIGN,'//  should we check interfaces as well?  if so at what level? '
Groovy,DESIGN,'//  TODO add generics support so this can be used for @EAHC '
Groovy,DESIGN,'//  since the calling code will push the type again we better remove it here '
Groovy,DESIGN,'//  cater for explicit href in e.g. @see TODO: push this earlier? '
Groovy,IMPLEMENTATION,'// TODO: if rhs is VariableSlotLoader already then skip crating a new one '
Groovy,DESIGN,'//  todo: inner class nodes don\'t have a constructors field available '
Groovy,DESIGN,'//  FRICKIN\' HACK!!!!! For some reason deleting a string at offset 0   does not get done properly so first replace and remove after parsing '
Groovy,DESIGN,'//  note: def not needed in parameter declarations but it is valid  todo: is it ok to strip out \'def\' from parameter declarations? '
Groovy,DESIGN,'// TODO: get the type\'s of the expressions to specify the   map type to Map<X> if possible. '
Groovy,DESIGN,'// todo spacing is odd c.f. last space in class vs interface above '
Groovy,TEST,'//  todo - 17 July 2006 - test fine however this parses but causes error in AntlrParserPlugin   fails after parser '
Groovy,DESIGN,'//  TODO expose this for stream based scenarios? '
Groovy,DESIGN,'//  TODO This is the only area where this MetaClass needs to do some interception because Groovy\'s current   MetaClass uses hard coded references to the java.lang.reflect.Constructor class so you can\'t simply   inject Constructor like you can do properties methods and fields. When Groovy\'s MetaClassImpl is   refactored we can fix this '
Groovy,DESIGN,'//  TODO: is there a better way to do this? '
Groovy,DEFECT,'//  TODO FIX if empty AssertionWriter fails because source text is null '
Groovy,DESIGN,'//  TODO this won\'t strictly be true when using list expansion in argument calls '
Groovy,DESIGN,'//  should always be the case but safe guard is better '
Groovy,DESIGN,'// TODO: remove this method if possible by switchpoint usage '
Groovy,DESIGN,"'//  are we a local variable?   it should not be an explicitly \""this\"" qualified method call   and the current class should have a possible method '"
Groovy,DESIGN,'//  TODO: move somewhere else '
Groovy,DESIGN,'//  TODO: Shouldn\'t these extensions be kept elsewhere?  What about CompilerConfiguration?   This method probably shouldn\'t be in GroovyMain either. '
Groovy,DESIGN,'/*  Should we make the following method private?  */'
Groovy,DEFECT,'// FIXME the warning message will NPE with what I have :( '
Groovy,IMPLEMENTATION,'//  TODO need returnType.qualifiedTypeName() here '
Groovy,DESIGN,'// FIXME: do we really want this() to create a new object regardless   the position.. for example not as first statement in a constructor   this=first statement in constructor is handled by specialConstructorCallExpression '
Groovy,IMPLEMENTATION,'/*  *  todo: order methods alphabetically (implement compareTo enough?)  */'
Groovy,DESIGN,'//  todo: performance would be better if we created a StringBuilder '
Groovy,DESIGN,'//  TODO remove dupe with SimpleGroovyType '
Groovy,IMPLEMENTATION,'// TODO: more finals? '
Groovy,DESIGN,'//  ugly hack   type definition i.e.   int[] x; '
Groovy,DESIGN,'//  GROOVY-8914: pre-compiled classes lose synthetic boolean - TODO fix earlier as per GROOVY-4346 then remove extra check here '
Groovy,DESIGN,'//  TODO: Should we have some unified function like PrintWriter.checkError()? '
Groovy,DESIGN,'// TODO: check if this part is actually used '
Groovy,DESIGN,'//  todo: above is not quite the spacing I would expect but good enough for now... '
Groovy,DESIGN,"'//  TODO consider moving next two statements \""up a level\"" i.e. have just one more widely invoked '"
Groovy,DESIGN,'//  TODO: this should go away once we have proper tags '
Groovy,DESIGN,'/*  @todo we should check if we have the property with the metaClass instead of try/catch   */'
Groovy,DESIGN,'//  TODO shouldn\'t really be treating annotation fields as methods - remove this hack '
Groovy,IMPLEMENTATION,'//  TODO intern types?   TODO configureAST(...) '
Groovy,DESIGN,'//  todo - inline open block is great but it doesn\'t work as one would expect (yet). (c.f. with)   slist inside a method body (needed label to distinguish from a closure)   slist inside each case body... '
Groovy,DESIGN,'/*              * TODO treble equal?             return binaryExpression(Types.COMPARE_IDENTICAL node);             case ???:             return binaryExpression(Types.LOGICAL_AND_EQUAL node);             case ???:             return binaryExpression(Types.LOGICAL_OR_EQUAL node);              */'
Groovy,DESIGN,'//  FIXME:  What should we use as the base URI?   It is unlikely we get to this point with a relative URI since making a URL   from will make it absolute I think.  But lets handle the simple case of   using file paths and turning that into an absolute file URI.   So we will use the current working directory as the base. '
Groovy,DEFECT,'// todo the following is legal Java but pretty strange...?   fails after parser '
Groovy,DESIGN,'//  TODO should this really be static???   cleared on build() to be safe '
Groovy,IMPLEMENTATION,'//  TODO validate args? '
Groovy,IMPLEMENTATION,'// TODO Joche: replace with real implementation '
Groovy,IMPLEMENTATION,'//  Shall we allow this ? Using Boolean ctors is usually not what user wants... '
Groovy,DESIGN,'//  GROOVY-8174: we\'d like stricter checking here but many drivers currently in use just aren\'t consistent enough so we log '
Groovy,DESIGN,'//  Create one script per socket connection.   This is purposefully not caching the Script   so that the script source file can be changed on the fly   as each connection is made to the server.  FIXME: Groovy has other mechanisms specifically for watching to see if source code changes.   We should probably be using that here.   See also the comment about the fact we recompile a script that can\'t change. '
Groovy,TEST,'// todo test newlines inside strings somehow... '
Groovy,DESIGN,'// TODO: maybe use more special type StringBuffer here '
Groovy,DESIGN,'/*              * Other internal error. Perhaps syntax?!              */'
Groovy,DESIGN,"'/*               Currently leaving BigInteger and BigDecimal in list but see:              http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6348370              Also Color is not final so while not normally used with child              classes it isn\'t strictly immutable. Use at your own risk.              This list can by extended by providing \""known immutable\"" classes              via Immutable.knownImmutableClasses              */'"
Groovy,DESIGN,'//  todo - incomplete as body of do...while... should be executed at least once which this doesn\'t provide. '
Groovy,DESIGN,'//  we found multiple matching methods   this is a problem because we can use only one   if it is a getter then use the most general return   type to decide which method to use. If it is a setter '
Groovy,DESIGN,'//  todo: replace with a real fast path unary expression helper when available '
Groovy,IMPLEMENTATION,'// TODO: if we would know exactly which paths require the exceptions        and which paths not we can sometimes save this guard  '
Groovy,DESIGN,'// TODO (blackdrag): this if branch needs a rework. There should be no direct method calls be produced the   handling of this/super could be much simplified (see visitAttributeExpression) the field accessibility check   could be moved directly into the search which would also no longer require the GroovyBugError then   the outer class field access seems to be without any tests (if there are tests for that then the code   here is dead code) '
Groovy,IMPLEMENTATION,'//  TODO don\'t allow override? '
Groovy,IMPLEMENTATION,'//  todo need process multi '
Groovy,DESIGN,'//  does this operator make any sense? '
Groovy,DESIGN,'/*  @todo we should use the real Josh Bloch algorithm here  */'
Groovy,DESIGN,'//  we have a duplicate class!   One possibility for this is that we declared a script and a   class in the same file and named the class like the file '
Groovy,DESIGN,'/*                      * todo there is no CompileUnit in scope so class name                     * checking won\'t work but that mostly affects the bytecode                     * generation rather than viewing the AST                      */'
Groovy,DESIGN,'/*  @todo maybe a double dispatch thing to handle new large numbers?  */'
Groovy,DESIGN,'// TODO: This logic mostly duplicates InvokerHelper.createScript.  They should probably be unified. '
Groovy,DESIGN,'/*      * Should be called when descending into a loop that defines     * also a scope. Calls pushVariableScope and prepares labels     * for a loop structure. Creates a element for the state stack     * so pop has to be called later TODO: @Deprecate      */'
Groovy,IMPLEMENTATION,'//  TODO check that we reset everything here '
Groovy,IMPLEMENTATION,'//  TODO Jochen: replace with new MetaMethod '
Groovy,DESIGN,"'//  todo is \'\' deprecated now?  assertEquals(\""assert b == true  99\"" pretty(\""assert b==true99\"")); '"
Groovy,TEST,'//   TODO: I (ait) don\'t know why these strange tricks needed and comment following as it effects some Grails tests '
Groovy,IMPLEMENTATION,'// TODO: implement int operations for this '
Groovy,DESIGN,'//  TODO: should be able to remove the klazz field once 2.5 becomes the mainline release   Gradle has a cleanup mechanism in place to reflectively access this klazz field.   The klazz field is being kept for compatibility so as to not break builds that depend   on versions of Groovy after the field was changed to a WeakReference (classRef).  It   appears that Gradle only performs the cleanup when it detects a groovy version of 2.4.x   so the klazz field and placeholder Sentinel class can likely be safely removed once   the release version bumps to 2.5 (or beyond).   See:   https://github.com/gradle/gradle/blob/711f64/subprojects/core/src/main/java/org/gradle/api/internal/classloading/LeakyOnJava7GroovySystemLoader.java#L74 '
Groovy,DESIGN,'//  todo suspicious spacing in the following assertion '
Groovy,DESIGN,'// more than one matching method found --> ambiguous! '
Groovy,DESIGN,"'//         \""The method \'java.lang.Object vo()\' has an incorrect modifier volatile.\""; '"
Groovy,DESIGN,'// todo should the colon be postfixed to the label? '
Groovy,DESIGN,'//  Bad enough to have side effects but worse if their behavior is wonky. '
Groovy,DESIGN,'//  TODO could be made more efficient by using a reverse index '
Groovy,IMPLEMENTATION,'// TODO: Cater for comments? '
Hive,DESIGN,'//  FIXME: probably this should also be integrated with isSame() logics '
Hive,DESIGN,'//  Wait for t1 to block just be sure. Not ideal... '
Hive,DESIGN,'// HIVE-17328: not sure this is correct... I don\'t think is gets wrapped in UDFToInteger.... '
Hive,DESIGN,'//  We expect this to never happen in practice. Can pool paths even have angled braces? '
Hive,DESIGN,"'//  TODO: This does not work correctly. None of the partitions is created but the folder   for the first two is created. It is because in HiveMetaStore.add_partitions_core when   going through the partitions the first two are already put and started in the thread   pool when the exception occurs in the third one. When the exception occurs we go to   the finally part but the map can be empty (it depends on the progress of the other   threads) so the folders won\'t be deleted.      Assert.assertFalse(metaStore.isPathExists(new Path(tableLocation + \""/year=2016\""))); '"
Hive,DESIGN,'//  TODO: remove this after stashing only rqd pieces from opconverter '
Hive,IMPLEMENTATION,'//  TODO: should we try to make a giant array for one cache call to avoid overhead? '
Hive,DESIGN,'//  Forward the row to reducer as is.   Discard the row.   Vectorized - may forward the row not sure yet. '
Hive,DESIGN,'//  7. Handle any move session requests. The way move session works right now is   a) sessions get moved to destination pool if there is capacity in destination pool   b) if there is no capacity in destination pool the session gets killed (since we cannot pause a query)   TODO: in future this the process of killing can be delayed until the point where a session is actually required.   We could consider delaying the move (when destination capacity is full) until there is claim in src pool.   May be change command to support ... DELAYED MOVE TO etl ... which will run under src cluster fraction as long '
Hive,DESIGN,'//  Not thread-safe. '
Hive,DESIGN,'// it would be better if AlreadyExistsException had an errorCode field.... '
Hive,DESIGN,'//  TODO: this can probably be replaced with much less code via dynamic dispatch and/or templates. '
Hive,DESIGN,'//  TODO Handle this properly '
Hive,IMPLEMENTATION,'//  TODO: Do we need maxLength checking? '
Hive,DESIGN,'//  TODO: prewarm and update can probably be merged. '
Hive,DESIGN,'//  @deprecated in favour of {@link HCatTable.#getTblProps()}. To be removed in Hive 0.16. '
Hive,DEFECT,'//  TODO: disabling this test as tez publishes counters only after task completion which will cause write side counters   to be not validated correctly (DAG will be completed before validation)    @Test(timeout = 60000) '
Hive,DESIGN,'//  TODO: might want to increase the default batch size. 1024 is viable; MS gets OOM if too high. '
Hive,DESIGN,'//  TODO: remove when averageTypeValueSize method RelMdSize '
Hive,DESIGN,'//  We store all caches in variables to change the main one based on config.   This is not thread safe between different split generations (and wasn\'t anyway). '
Hive,DESIGN,'//  $x/$user/appcache/$appId/${dagId}/output/$mapId   TODO: Once Shuffle is out of NM this can use MR APIs to convert   between App and Job '
Hive,IMPLEMENTATION,'// todo: does this need the finalDestination? '
Hive,DESIGN,'//  todo: add LIMIT 1 instead of count - should be more efficient '
Hive,IMPLEMENTATION,'/*      * TODO: client.executeStatement do not support listing resources command     * (beeline> list jar)      */'
Hive,DESIGN,'//  Note: scheduler will call this based on lack of sources at schedule time and set this         to true... there\'s no easy way to work around this. Need better classes '
Hive,DEFECT,'//  TODO: will this also fix windowing? try '
Hive,DESIGN,'//  but let\'s make it a little bit more explicit. '
Hive,DESIGN,'//  TODO: This should inherit from VolcanoCost and should just override isLE   method. '
Hive,DESIGN,'//  TODO: 1) check for duplicates 2) We assume in clause values to be   present in NDV which may not be correct (Range check can find it) 3) We   assume values in NDV set is uniformly distributed over col values   (account for skewness - histogram). '
Hive,DESIGN,'//  TODO: if we didn\'t care about the column order we could switch join sides here '
Hive,DESIGN,'//  TODO: we could remember if it\'s unsupported and stop sending calls; although it might         be a bad idea for HS2+standalone metastore that could be updated with support.         Maybe we should just remember this for some time. '
Hive,DESIGN,'//  @deprecated in favour of {@link HCatTable.#location(String)}. To be removed in Hive 0.16. '
Hive,DESIGN,'//  TODO: why is this like that? '
Hive,DESIGN,'/*  TODO Escape handling may be changed by a follow on.     * The largest issue is ; which are treated as statement     * terminators for the cli. Once the cli is fixed this     * code should be re-investigated      */'
Hive,DEFECT,'//  Delete data?   Fail if table doesn\'t exist?   Need results back? '
Hive,DESIGN,'//  TODO: This does not work correctly. None of the partitions is created but the folder   for the first two is created. It is because in HiveMetaStore.add_partitions_core when   going through the partitions the first two are already put and started in the thread   pool when the exception occurs in the third one.   When the exception occurs we go to the finally part but the map can be empty   (it depends on the progress of the other threads) so the folders won\'t be deleted.   Assert.assertTrue(metaStore.isPathExists(new Path(partition1.getSd().getLocation())));   Assert.assertTrue(metaStore.isPathExists(new Path(partition2.getSd().getLocation())));   Assert.assertTrue(metaStore.isPathExists(new Path(partition3.getSd().getLocation()))); '
Hive,DEFECT,'//  Note: we assume that this isn\'t an already malformed query;         we don\'t check for that here - it will fail later anyway. '
Hive,DESIGN,'//  TODO - not clear if we should cache these or not.  For now don\'t bother '
Hive,IMPLEMENTATION,'//  TODO: this needs to be removed; see TestReplicationScenarios* comments. '
Hive,DEFECT,'// BUG: This will not work in remote mode - HIVE-5153 '
Hive,DESIGN,'//  TODO Change this method to make the output easier to parse (parse programmatically) '
Hive,IMPLEMENTATION,'//  TODO: remove? '
Hive,DESIGN,'//  Wouldn\'t it make more sense to return the first element of the list returned by the   previous call? '
Hive,DESIGN,'//  a better logic would be to find the alias '
Hive,DESIGN,'//  we need to enforce the size here even the types are the same '
Hive,DEFECT,'//  This method may not be safe as it can throw an NPE if a key or value is null. '
Hive,DESIGN,'//  TODO: this is an ugly hack because Tez plugin isolation does not make sense for LLAP plugins.         We are going to register a thread-local here for now so that the scheduler initializing         in the same thread after the communicator will pick up. Or the other way around. '
Hive,DESIGN,'//  TODO MS-SPLIT uncomment once we move EventMessage over '
Hive,DESIGN,'//  Follow hive\'s rules for type inference as oppose to Calcite\'s   for return type.  TODO: Perhaps we should do this for all functions not just +- '
Hive,DESIGN,'//  TODO: [HIVE-6289] while getting stats from metastore we currently only get one col at         a time; this could be improved - get all necessary columns in advance then use local.   TODO: [HIVE-6292] aggregations could be done directly in metastore. Hive over MySQL! '
Hive,IMPLEMENTATION,'//  TODO: see planIndexReading; this is not needed here. '
Hive,DESIGN,'//  TODO: why is it stored in both table and dpCtx? '
Hive,IMPLEMENTATION,'//  TODO: Use threadpool for more concurrency?   TODO: check/set all files or only directories  '
Hive,IMPLEMENTATION,'//  TODO HIVE-15865 Handle additional reasons like OS launch failed '
Hive,IMPLEMENTATION,'//  TODO: 1) handle Agg Func Name translation 2) is it correct to add func '
Hive,DESIGN,'//  TODO: Both of these are TException why do we need these separate clauses? '
Hive,DESIGN,'//  TODO: if two HS2s start at exactly the same time which could happen during a coordinated         restart they could start generating the same IDs. Should we store the startTime '
Hive,DESIGN,'//  TODO: given the specific data and lookups perhaps the nested thing should not be a map         In fact CSLM has slow single-threaded operation and one file is probably often read         by just one (or few) threads so a much more simple DS with locking might be better.         Let\'s use CSLM for now since it\'s available. '
Hive,DESIGN,'//  TODO Ideally this should be done independent of whether mr is setup or not. '
Hive,DESIGN,'//  This is not modeled as a @Before because it needs to be parameterized per-test.   If there is a better way to do this we should do it. '
Hive,IMPLEMENTATION,'//  todo HIVE-5269 '
Hive,TEST,"'//  Make sure null-valued ConfVar properties do not override the Hadoop Configuration   NOTE: Comment out the following test case for now until a better way to test is found   as this test case cannot be reliably tested. The reason for this is that Hive does   overwrite fs.default.name in HiveConf if the property is set in system properties.   checkHadoopConf(ConfVars.HADOOPFS.varname \""core-site.xml\"");   checkConfVar(ConfVars.HADOOPFS null);   checkHiveConf(ConfVars.HADOOPFS.varname \""core-site.xml\""); '"
Hive,DESIGN,'//  @deprecated in favour of {@link HCatPartition.#getDatabaseName()}. To be removed in Hive 0.16. '
Hive,DESIGN,'// TODO: due to value 101 this probably should throw an exception '
Hive,DESIGN,'//  @deprecated in favour of {@link HCatTable.#getSortCols()}. To be removed in Hive 0.16. '
Hive,DEFECT,'//  Hmm.. not good   the only type expected here is STRUCT which maps to HCatRecord   - anything else is an error. Return null as the inspector. '
Hive,DESIGN,'//  TODO: should these rather be arrays? '
Hive,DESIGN,'//  TODO Change all this to be based on a regular interface instead of relying on the Proto service - Exception signatures cannot be controlled without this for the moment. '
Hive,IMPLEMENTATION,'//  PolicyChangeListener will be implemented later '
Hive,DESIGN,'//  TODO: do we actually need this reader? the caller just extracts child readers. '
Hive,DESIGN,'//  TODO HIVE-14042. What is mergeWork and why is it not part of the regular operator chain.   The mergeMapOp.initialize call further down can block and will not receive information   about an abort request. '
Hive,DESIGN,'//  TODO HIVE-15163. Handle cases where nodes go down and come back on the same port. Historic information '
Hive,DESIGN,'//  TODO: most protocol exceptions are probably unrecoverable... throw? '
Hive,DESIGN,'//  TODO: do we also need to remove the MapJoin from the list of RS\'s children? '
Hive,DESIGN,'//  TODO: why is there a TezSession in MR ExecDriver? '
Hive,DESIGN,'//  Replace INSERT OVERWRITE by MERGE equivalent rewriting.   Here we need to do this complex AST rewriting that generates the same plan   that a MERGE clause would generate because CBO does not support MERGE yet.   TODO: Support MERGE as first class member in CBO to simplify this logic. '
Hive,DESIGN,'//  TODO: Current implementation of replication will result in DROP_PARTITION under replication   scope being called per-partition instead of multiple partitions. However to be robust we   must still handle the case of multiple partitions in case this assumption changes in the   future. However if this assumption changes we will not be very performant if we fetch   each partition one-by-one and then decide on inspection whether or not this is a candidate   for dropping. Thus we need a way to push this filter (replicationSpec.allowEventReplacementInto)   to the  metastore to allow it to do drop a partition or not depending on a Predicate on the   parameter key values. '
Hive,DESIGN,'//  TODO: should we pass curr instead of null? '
Hive,DESIGN,'//  Really not sure if this should go here.  Will have   to see how the storage mechanism evolves. '
Hive,IMPLEMENTATION,"'//  TODO Force fs to file:// setup staging dir?        conf.set(\""fs.defaultFS\"" \""file:///\"");        conf.set(TezConfiguration.TEZ_AM_STAGING_DIR \""/tmp\""); '"
Hive,DESIGN,'// todo: why not just use getRootDir()? '
Hive,IMPLEMENTATION,'//  TODO: lossy conversion! '
Hive,DESIGN,'//  TODO: remove the copy after ORC-158 and ORC-197 '
Hive,DESIGN,'//  TODO: If the DB name doesn\'t match with the metadata from dump then need to rewrite the original and expanded   texts using new DB name. Currently it refers to the source database name. '
Hive,DESIGN,'//  TODO: remove this constructor '
Hive,DESIGN,'//  TODO: add the ability to extractFileTail to read from multiple buffers? '
Hive,DESIGN,'//  TODO : instead of simply restricting by message format we should eventually   move to a jdbc-driver-stype registering of message format and picking message   factory per event to decode. For now however since all messages have the   same factory restricting by message format is effectively a guard against   older leftover data that would cause us problems. '
Hive,DESIGN,'//  TODO: When hive moves to java8 make updateTimezone() as default method in '
Hive,IMPLEMENTATION,'//  Not strictly necessary noone will look at it. '
Hive,DESIGN,'//  2**exponent part is scaling down while 10**scale is scaling up.   Now it\'s tricky.   unscaledValue = significand * 10**scale / 2**twoScaleDown '
Hive,DESIGN,'//  TODO CAT - I am fairly certain that most calls to this are in error.  This should only be   used when the database location is unset which should never happen except when a   new database is being created.  Once I have confirmation of this change calls of this to   getDatabasePath() since it does the right thing.  Also merge this with   determineDatabasePath() as it duplicates much of the logic. '
Hive,DESIGN,'//  TODO: Should this be the concern of the mutator? '
Hive,DESIGN,'//  TODO: Provide support for reporting errors   This should never happen as server always returns a valid status on success '
Hive,DESIGN,'/*  TODO: ideally when the splits UDF is made a proper API coordinator should not   *        be managed as a global. HS2 should create it and then pass it around.  */'
Hive,IMPLEMENTATION,'//  TODO: convert sqlState etc. '
Hive,IMPLEMENTATION,'//  TODO Include EXTERNAL_PREEMPTION in this list? '
Hive,DESIGN,'//  To workaround AvroUTF8 '
Hive,DESIGN,'//  TODO needs to go in InitializeInput? as part of InputJobInfo '
Hive,DEFECT,'//  Note that this logic may drop some of the tables of the database   even if the drop database fail for any reason   TODO: Fix this '
Hive,DESIGN,'//  Some walkers extending DefaultGraphWalker e.g. ForwardWalker   do not use opQueue and rely uniquely in the toWalk structure   thus we store the results produced by the dispatcher here   TODO: rewriting the logic of those walkers to use opQueue '
Hive,DESIGN,'//  This is a corner case where we have an extract of time unit like day/month pushed as Extraction Fn  @TODO The best way to fix this is to add explicit output Druid types to Calcite Extraction Functions impls '
Hive,DESIGN,'//  Workaround for HADOOP-12659 - remove when Hadoop 2.7.X is no longer supported. '
Hive,DESIGN,'//  We could pass in the number of nodes that we expect instead of -1.   Also a single concurrent request per node is currently hardcoded. '
Hive,DESIGN,'//  TODO: Strangely the default parametrization is to ignore missing tables '
Hive,DESIGN,'//  FIXME : should clean up TEST_PATH but not doing it now for debugging\'s sake '
Hive,DESIGN,'//  This will throw error if we close pout early. '
Hive,DESIGN,'//  It is not a very clean way and should be modified later - due to   compatibility reasons   user sees the results as json for custom scripts and has no way for   specifying that.   Right now it is hard-coded in the code '
Hive,TEST,'//  TODO This test passes fine locally but fails on Linux not sure why '
Hive,DESIGN,'//  TODO: SeekableInputStream.readFully eventually calls a Hadoop method that used to be         buggy in 2.7 and also anyway just does a copy for a direct buffer. Do a copy here.   ((SeekableInputStream)stream).readFully(bb); '
Hive,DESIGN,'//  TODO: 1) Expand to other functions as needed 2) What about types other than primitive. '
Hive,DESIGN,'//  Set footer cache for current split generation. See field comment - not thread safe. '
Hive,DESIGN,'//  TODO: the below seem like they should just be combined into partitionDesc '
Hive,DESIGN,'//  CallableWithNdc inherits from NDC only when call() is invoked. CallableWithNdc has to   extended to provide access to its ndcStack that is cloned during creation. Until then   we will use reflection to access the private field.   FIXME: HIVE-14243 follow to remove this reflection '
Hive,DESIGN,'//  TODO: this is brittle. Who said everyone has to upgrade using upgrade process? '
Hive,DESIGN,'/*    * Check whether a task can run to completion or may end up blocking on it\'s sources.   * This currently happens via looking up source state.   * TODO: Eventually this should lookup the Hive Processor to figure out whether   * it\'s reached a state where it can finish - especially in cases of failures   * after data has been fetched.   *   * @return true if the task can finish false otherwise    */'
Hive,DESIGN,'//  UNDONE: How to look for all NULLs in a multi-key?????  Let nulls through for now. '
Hive,DESIGN,'//  Note: this can still conflict with parallel transactions. We do not currently handle         parallel changes from two admins (by design :(). '
Hive,DESIGN,'//  TODO: time good enough for now - we\'ll likely improve this.   We may also work in something the equivalent of pid thrid and move to nanos to ensure   uniqueness. '
Hive,DESIGN,'//  FIXME: somehow place pointers that re-execution compilation have failed; the query have been successfully compiled before? '
Hive,DESIGN,'//  UNDONE: Haven\'t finished isRepeated '
Hive,DESIGN,'//  hack instead figure out a way to get the db paths '
Hive,DESIGN,'// TODO: support complex types   for complex type we simply return 0 '
Hive,IMPLEMENTATION,'//  TODO: the control flow for this needs to be defined. Hive is supposed to be thread-local. '
Hive,DESIGN,'// todo: should be at the top of the file... '
Hive,DESIGN,'//  Get rid of TOK_SELEXPR '
Hive,IMPLEMENTATION,'//  Clear the work map after build. TODO: remove caching instead? '
Hive,DESIGN,'//  DO_NOT_UPDATE_STATS is supposed to be a transient parameter that is only passed via RPC   We want to avoid this property from being persistent.     NOTE: If this property *is* set as table property we will remove it which is incorrect but   we can\'t distinguish between these two cases     This problem was introduced by HIVE-10228. A better approach would be to pass the property '
Hive,DESIGN,'//  This is using the payload from the RootVertexInitializer corresponding   to InputName. Ideally it should be using it\'s own configuration class -   but that '
Hive,DESIGN,'//  like HiveHBaseTableInputFormat cannot be used with this (todo) '
Hive,DESIGN,'//  @deprecated in favour of {@link HCatTable.#collectionItemsTerminatedBy()}. To be removed in Hive 0.16. '
Hive,DESIGN,'//  TODO: Once HBASE-11163 is completed use that API or switch to   using mapreduce version of the APIs. rather than mapred   Copied from HBase\'s TableMapreduceUtil since it is not public API '
Hive,IMPLEMENTATION,'//  TODO: Fetch partitions in batches?   TODO: Threadpool to process partitions? '
