@relation comments-weka.filters.unsupervised.instance.RemovePercentage-P50.0
@attribute comment string
@attribute classification {TEST,IMPLEMENTATION,DESIGN,DEFECT,DOCUMENTATION}
@data
"'//  todo - 17 July 2006 - test fine however this parses but causes error in AntlrParserPlugin   fails after parser '",'TEST'
"'//  TODO expose this for stream based scenarios? '",'DESIGN'
"'//  TODO This is the only area where this MetaClass needs to do some interception because Groovy\\'s current   MetaClass uses hard coded references to the java.lang.reflect.Constructor class so you can\\'t simply   inject Constructor like you can do properties methods and fields. When Groovy\\'s MetaClassImpl is   refactored we can fix this '",'DESIGN'
"'//  TODO: is there a better way to do this? '",'DESIGN'
"'//  TODO FIX if empty AssertionWriter fails because source text is null '",'DEFECT'
"'//  TODO this won\\'t strictly be true when using list expansion in argument calls '",'DESIGN'
"'//  should always be the case but safe guard is better '",'DESIGN'
"'// TODO: remove this method if possible by switchpoint usage '",'DESIGN'
'\'//  are we a local variable?   it should not be an explicitly \\"this\\" qualified method call   and the current class should have a possible method \'','DESIGN'
"'//  TODO: move somewhere else '",'DESIGN'
"'//  TODO: Shouldn\\'t these extensions be kept elsewhere?  What about CompilerConfiguration?   This method probably shouldn\\'t be in GroovyMain either. '",'DESIGN'
"'/*  Should we make the following method private?  */'",'DESIGN'
"'// FIXME the warning message will NPE with what I have :( '",'DEFECT'
"'//  TODO need returnType.qualifiedTypeName() here '",'IMPLEMENTATION'
"'// FIXME: do we really want this() to create a new object regardless   the position.. for example not as first statement in a constructor   this=first statement in constructor is handled by specialConstructorCallExpression '",'DESIGN'
"'/*  *  todo: order methods alphabetically (implement compareTo enough?)  */'",'IMPLEMENTATION'
"'//  todo: performance would be better if we created a StringBuilder '",'DESIGN'
"'//  TODO remove dupe with SimpleGroovyType '",'DESIGN'
"'// TODO: more finals? '",'IMPLEMENTATION'
"'//  ugly hack   type definition i.e.   int[] x; '",'DESIGN'
"'//  GROOVY-8914: pre-compiled classes lose synthetic boolean - TODO fix earlier as per GROOVY-4346 then remove extra check here '",'DESIGN'
"'//  TODO: Should we have some unified function like PrintWriter.checkError()? '",'DESIGN'
"'// TODO: check if this part is actually used '",'DESIGN'
"'//  todo: above is not quite the spacing I would expect but good enough for now... '",'DESIGN'
'\'//  TODO consider moving next two statements \\"up a level\\" i.e. have just one more widely invoked \'','DESIGN'
"'//  TODO: this should go away once we have proper tags '",'DESIGN'
"'/*  @todo we should check if we have the property with the metaClass instead of try/catch   */'",'DESIGN'
"'//  TODO shouldn\\'t really be treating annotation fields as methods - remove this hack '",'DESIGN'
"'//  TODO intern types?   TODO configureAST(...) '",'IMPLEMENTATION'
"'//  todo - inline open block is great but it doesn\\'t work as one would expect (yet). (c.f. with)   slist inside a method body (needed label to distinguish from a closure)   slist inside each case body... '",'DESIGN'
"'/*              * TODO treble equal?             return binaryExpression(Types.COMPARE_IDENTICAL node);             case ???:             return binaryExpression(Types.LOGICAL_AND_EQUAL node);             case ???:             return binaryExpression(Types.LOGICAL_OR_EQUAL node);              */'",'DESIGN'
"'//  FIXME:  What should we use as the base URI?   It is unlikely we get to this point with a relative URI since making a URL   from will make it absolute I think.  But lets handle the simple case of   using file paths and turning that into an absolute file URI.   So we will use the current working directory as the base. '",'DESIGN'
"'// todo the following is legal Java but pretty strange...?   fails after parser '",'DEFECT'
"'//  TODO should this really be static???   cleared on build() to be safe '",'DESIGN'
"'//  TODO validate args? '",'IMPLEMENTATION'
"'// TODO Joche: replace with real implementation '",'IMPLEMENTATION'
"'//  Shall we allow this ? Using Boolean ctors is usually not what user wants... '",'IMPLEMENTATION'
"'//  GROOVY-8174: we\\'d like stricter checking here but many drivers currently in use just aren\\'t consistent enough so we log '",'DESIGN'
"'//  Create one script per socket connection.   This is purposefully not caching the Script   so that the script source file can be changed on the fly   as each connection is made to the server.  FIXME: Groovy has other mechanisms specifically for watching to see if source code changes.   We should probably be using that here.   See also the comment about the fact we recompile a script that can\\'t change. '",'DESIGN'
"'// todo test newlines inside strings somehow... '",'TEST'
"'// TODO: maybe use more special type StringBuffer here '",'DESIGN'
"'/*              * Other internal error. Perhaps syntax?!              */'",'DESIGN'
'\'/*               Currently leaving BigInteger and BigDecimal in list but see:              http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6348370              Also Color is not final so while not normally used with child              classes it isn\\\'t strictly immutable. Use at your own risk.              This list can by extended by providing \\"known immutable\\" classes              via Immutable.knownImmutableClasses              */\'','DESIGN'
"'//  todo - incomplete as body of do...while... should be executed at least once which this doesn\\'t provide. '",'DESIGN'
"'//  we found multiple matching methods   this is a problem because we can use only one   if it is a getter then use the most general return   type to decide which method to use. If it is a setter '",'DESIGN'
"'//  todo: replace with a real fast path unary expression helper when available '",'DESIGN'
"'// TODO: if we would know exactly which paths require the exceptions        and which paths not we can sometimes save this guard  '",'IMPLEMENTATION'
"'// TODO (blackdrag): this if branch needs a rework. There should be no direct method calls be produced the   handling of this/super could be much simplified (see visitAttributeExpression) the field accessibility check   could be moved directly into the search which would also no longer require the GroovyBugError then   the outer class field access seems to be without any tests (if there are tests for that then the code   here is dead code) '",'DESIGN'
"'//  TODO don\\'t allow override? '",'IMPLEMENTATION'
"'//  todo need process multi '",'IMPLEMENTATION'
"'//  does this operator make any sense? '",'DESIGN'
"'/*  @todo we should use the real Josh Bloch algorithm here  */'",'DESIGN'
"'//  we have a duplicate class!   One possibility for this is that we declared a script and a   class in the same file and named the class like the file '",'DESIGN'
"'/*                      * todo there is no CompileUnit in scope so class name                     * checking won\\'t work but that mostly affects the bytecode                     * generation rather than viewing the AST                      */'",'DESIGN'
"'/*  @todo maybe a double dispatch thing to handle new large numbers?  */'",'DESIGN'
"'// TODO: This logic mostly duplicates InvokerHelper.createScript.  They should probably be unified. '",'DESIGN'
"'/*      * Should be called when descending into a loop that defines     * also a scope. Calls pushVariableScope and prepares labels     * for a loop structure. Creates a element for the state stack     * so pop has to be called later TODO: @Deprecate      */'",'DESIGN'
"'//  TODO check that we reset everything here '",'IMPLEMENTATION'
"'//  TODO Jochen: replace with new MetaMethod '",'IMPLEMENTATION'
'\'//  todo is \\\'\\\' deprecated now?  assertEquals(\\"assert b == true  99\\" pretty(\\"assert b==true99\\")); \'','DESIGN'
"'//   TODO: I (ait) don\\'t know why these strange tricks needed and comment following as it effects some Grails tests '",'TEST'
"'// TODO: implement int operations for this '",'IMPLEMENTATION'
"'//  TODO: should be able to remove the klazz field once 2.5 becomes the mainline release   Gradle has a cleanup mechanism in place to reflectively access this klazz field.   The klazz field is being kept for compatibility so as to not break builds that depend   on versions of Groovy after the field was changed to a WeakReference (classRef).  It   appears that Gradle only performs the cleanup when it detects a groovy version of 2.4.x   so the klazz field and placeholder Sentinel class can likely be safely removed once   the release version bumps to 2.5 (or beyond).   See:   https://github.com/gradle/gradle/blob/711f64/subprojects/core/src/main/java/org/gradle/api/internal/classloading/LeakyOnJava7GroovySystemLoader.java#L74 '",'DESIGN'
"'//  todo suspicious spacing in the following assertion '",'DESIGN'
"'// more than one matching method found --> ambiguous! '",'DESIGN'
'\'//         \\"The method \\\'java.lang.Object vo()\\\' has an incorrect modifier volatile.\\"; \'','DESIGN'
"'// todo should the colon be postfixed to the label? '",'DESIGN'
"'//  Bad enough to have side effects but worse if their behavior is wonky. '",'DESIGN'
"'//  TODO could be made more efficient by using a reverse index '",'DESIGN'
"'// TODO: Cater for comments? '",'IMPLEMENTATION'
"'//  FIXME: probably this should also be integrated with isSame() logics '",'DESIGN'
"'//  Wait for t1 to block just be sure. Not ideal... '",'DESIGN'
"'// HIVE-17328: not sure this is correct... I don\\'t think is gets wrapped in UDFToInteger.... '",'DESIGN'
"'//  We expect this to never happen in practice. Can pool paths even have angled braces? '",'DESIGN'
'\'//  TODO: This does not work correctly. None of the partitions is created but the folder   for the first two is created. It is because in HiveMetaStore.add_partitions_core when   going through the partitions the first two are already put and started in the thread   pool when the exception occurs in the third one. When the exception occurs we go to   the finally part but the map can be empty (it depends on the progress of the other   threads) so the folders won\\\'t be deleted.      Assert.assertFalse(metaStore.isPathExists(new Path(tableLocation + \\"/year=2016\\"))); \'','DESIGN'
"'//  TODO: remove this after stashing only rqd pieces from opconverter '",'DESIGN'
"'//  TODO: should we try to make a giant array for one cache call to avoid overhead? '",'IMPLEMENTATION'
"'//  Forward the row to reducer as is.   Discard the row.   Vectorized - may forward the row not sure yet. '",'DESIGN'
"'//  7. Handle any move session requests. The way move session works right now is   a) sessions get moved to destination pool if there is capacity in destination pool   b) if there is no capacity in destination pool the session gets killed (since we cannot pause a query)   TODO: in future this the process of killing can be delayed until the point where a session is actually required.   We could consider delaying the move (when destination capacity is full) until there is claim in src pool.   May be change command to support ... DELAYED MOVE TO etl ... which will run under src cluster fraction as long '",'DESIGN'
"'//  Not thread-safe. '",'DESIGN'
"'// it would be better if AlreadyExistsException had an errorCode field.... '",'DESIGN'
"'//  TODO: this can probably be replaced with much less code via dynamic dispatch and/or templates. '",'DESIGN'
"'//  TODO Handle this properly '",'DESIGN'
"'//  TODO: Do we need maxLength checking? '",'IMPLEMENTATION'
"'//  TODO: prewarm and update can probably be merged. '",'DESIGN'
"'//  @deprecated in favour of {@link HCatTable.#getTblProps()}. To be removed in Hive 0.16. '",'DESIGN'
"'//  TODO: disabling this test as tez publishes counters only after task completion which will cause write side counters   to be not validated correctly (DAG will be completed before validation)    @Test(timeout = 60000) '",'DEFECT'
"'//  TODO: might want to increase the default batch size. 1024 is viable; MS gets OOM if too high. '",'DESIGN'
"'//  TODO: remove when averageTypeValueSize method RelMdSize '",'DESIGN'
"'//  We store all caches in variables to change the main one based on config.   This is not thread safe between different split generations (and wasn\\'t anyway). '",'DESIGN'
"'//  $x/$user/appcache/$appId/${dagId}/output/$mapId   TODO: Once Shuffle is out of NM this can use MR APIs to convert   between App and Job '",'DESIGN'
"'// todo: does this need the finalDestination? '",'IMPLEMENTATION'
"'//  todo: add LIMIT 1 instead of count - should be more efficient '",'DESIGN'
"'/*      * TODO: client.executeStatement do not support listing resources command     * (beeline> list jar)      */'",'IMPLEMENTATION'
"'//  Note: scheduler will call this based on lack of sources at schedule time and set this         to true... there\\'s no easy way to work around this. Need better classes '",'DESIGN'
"'//  TODO: will this also fix windowing? try '",'DEFECT'
"'//  but let\\'s make it a little bit more explicit. '",'DESIGN'
"'//  TODO: This should inherit from VolcanoCost and should just override isLE   method. '",'DESIGN'
"'//  TODO: 1) check for duplicates 2) We assume in clause values to be   present in NDV which may not be correct (Range check can find it) 3) We   assume values in NDV set is uniformly distributed over col values   (account for skewness - histogram). '",'DESIGN'
"'//  TODO: if we didn\\'t care about the column order we could switch join sides here '",'DESIGN'
"'//  TODO: we could remember if it\\'s unsupported and stop sending calls; although it might         be a bad idea for HS2+standalone metastore that could be updated with support.         Maybe we should just remember this for some time. '",'DESIGN'
"'//  @deprecated in favour of {@link HCatTable.#location(String)}. To be removed in Hive 0.16. '",'DESIGN'
"'//  TODO: why is this like that? '",'DESIGN'
"'/*  TODO Escape handling may be changed by a follow on.     * The largest issue is ; which are treated as statement     * terminators for the cli. Once the cli is fixed this     * code should be re-investigated      */'",'DESIGN'
"'//  Delete data?   Fail if table doesn\\'t exist?   Need results back? '",'DEFECT'
"'//  TODO: This does not work correctly. None of the partitions is created but the folder   for the first two is created. It is because in HiveMetaStore.add_partitions_core when   going through the partitions the first two are already put and started in the thread   pool when the exception occurs in the third one.   When the exception occurs we go to the finally part but the map can be empty   (it depends on the progress of the other threads) so the folders won\\'t be deleted.   Assert.assertTrue(metaStore.isPathExists(new Path(partition1.getSd().getLocation())));   Assert.assertTrue(metaStore.isPathExists(new Path(partition2.getSd().getLocation())));   Assert.assertTrue(metaStore.isPathExists(new Path(partition3.getSd().getLocation()))); '",'DESIGN'
"'//  Note: we assume that this isn\\'t an already malformed query;         we don\\'t check for that here - it will fail later anyway. '",'DEFECT'
"'//  TODO - not clear if we should cache these or not.  For now don\\'t bother '",'DESIGN'
"'//  TODO: this needs to be removed; see TestReplicationScenarios* comments. '",'IMPLEMENTATION'
"'// BUG: This will not work in remote mode - HIVE-5153 '",'DEFECT'
"'//  TODO Change this method to make the output easier to parse (parse programmatically) '",'DESIGN'
"'//  TODO: remove? '",'IMPLEMENTATION'
"'//  Wouldn\\'t it make more sense to return the first element of the list returned by the   previous call? '",'DESIGN'
"'//  a better logic would be to find the alias '",'DESIGN'
"'//  we need to enforce the size here even the types are the same '",'DESIGN'
"'//  This method may not be safe as it can throw an NPE if a key or value is null. '",'DEFECT'
"'//  TODO: this is an ugly hack because Tez plugin isolation does not make sense for LLAP plugins.         We are going to register a thread-local here for now so that the scheduler initializing         in the same thread after the communicator will pick up. Or the other way around. '",'DESIGN'
"'//  TODO MS-SPLIT uncomment once we move EventMessage over '",'DESIGN'
"'//  Follow hive\\'s rules for type inference as oppose to Calcite\\'s   for return type.  TODO: Perhaps we should do this for all functions not just +- '",'DESIGN'
"'//  TODO: [HIVE-6289] while getting stats from metastore we currently only get one col at         a time; this could be improved - get all necessary columns in advance then use local.   TODO: [HIVE-6292] aggregations could be done directly in metastore. Hive over MySQL! '",'DESIGN'
"'//  TODO: see planIndexReading; this is not needed here. '",'IMPLEMENTATION'
"'//  TODO: why is it stored in both table and dpCtx? '",'DESIGN'
"'//  TODO: Use threadpool for more concurrency?   TODO: check/set all files or only directories  '",'IMPLEMENTATION'
"'//  TODO HIVE-15865 Handle additional reasons like OS launch failed '",'IMPLEMENTATION'
"'//  TODO: 1) handle Agg Func Name translation 2) is it correct to add func '",'IMPLEMENTATION'
"'//  TODO: Both of these are TException why do we need these separate clauses? '",'DESIGN'
"'//  TODO: if two HS2s start at exactly the same time which could happen during a coordinated         restart they could start generating the same IDs. Should we store the startTime '",'DESIGN'
"'//  TODO: given the specific data and lookups perhaps the nested thing should not be a map         In fact CSLM has slow single-threaded operation and one file is probably often read         by just one (or few) threads so a much more simple DS with locking might be better.         Let\\'s use CSLM for now since it\\'s available. '",'DESIGN'
"'//  TODO Ideally this should be done independent of whether mr is setup or not. '",'DESIGN'
"'//  This is not modeled as a @Before because it needs to be parameterized per-test.   If there is a better way to do this we should do it. '",'DESIGN'
"'//  todo HIVE-5269 '",'IMPLEMENTATION'
'\'//  Make sure null-valued ConfVar properties do not override the Hadoop Configuration   NOTE: Comment out the following test case for now until a better way to test is found   as this test case cannot be reliably tested. The reason for this is that Hive does   overwrite fs.default.name in HiveConf if the property is set in system properties.   checkHadoopConf(ConfVars.HADOOPFS.varname \\"core-site.xml\\");   checkConfVar(ConfVars.HADOOPFS null);   checkHiveConf(ConfVars.HADOOPFS.varname \\"core-site.xml\\"); \'','TEST'
"'//  @deprecated in favour of {@link HCatPartition.#getDatabaseName()}. To be removed in Hive 0.16. '",'DESIGN'
"'// TODO: due to value 101 this probably should throw an exception '",'DESIGN'
"'//  @deprecated in favour of {@link HCatTable.#getSortCols()}. To be removed in Hive 0.16. '",'DESIGN'
"'//  Hmm.. not good   the only type expected here is STRUCT which maps to HCatRecord   - anything else is an error. Return null as the inspector. '",'DEFECT'
"'//  TODO: should these rather be arrays? '",'DESIGN'
"'//  TODO Change all this to be based on a regular interface instead of relying on the Proto service - Exception signatures cannot be controlled without this for the moment. '",'DESIGN'
"'//  PolicyChangeListener will be implemented later '",'IMPLEMENTATION'
"'//  TODO: do we actually need this reader? the caller just extracts child readers. '",'DESIGN'
"'//  TODO HIVE-14042. What is mergeWork and why is it not part of the regular operator chain.   The mergeMapOp.initialize call further down can block and will not receive information   about an abort request. '",'DESIGN'
"'//  TODO HIVE-15163. Handle cases where nodes go down and come back on the same port. Historic information '",'DESIGN'
"'//  TODO: most protocol exceptions are probably unrecoverable... throw? '",'DESIGN'
"'//  TODO: do we also need to remove the MapJoin from the list of RS\\'s children? '",'DESIGN'
"'//  TODO: why is there a TezSession in MR ExecDriver? '",'DESIGN'
"'//  Replace INSERT OVERWRITE by MERGE equivalent rewriting.   Here we need to do this complex AST rewriting that generates the same plan   that a MERGE clause would generate because CBO does not support MERGE yet.   TODO: Support MERGE as first class member in CBO to simplify this logic. '",'DESIGN'
"'//  TODO: Current implementation of replication will result in DROP_PARTITION under replication   scope being called per-partition instead of multiple partitions. However to be robust we   must still handle the case of multiple partitions in case this assumption changes in the   future. However if this assumption changes we will not be very performant if we fetch   each partition one-by-one and then decide on inspection whether or not this is a candidate   for dropping. Thus we need a way to push this filter (replicationSpec.allowEventReplacementInto)   to the  metastore to allow it to do drop a partition or not depending on a Predicate on the   parameter key values. '",'DESIGN'
"'//  TODO: should we pass curr instead of null? '",'DESIGN'
"'//  Really not sure if this should go here.  Will have   to see how the storage mechanism evolves. '",'DESIGN'
'\'//  TODO Force fs to file:// setup staging dir?        conf.set(\\"fs.defaultFS\\" \\"file:///\\");        conf.set(TezConfiguration.TEZ_AM_STAGING_DIR \\"/tmp\\"); \'','IMPLEMENTATION'
"'// todo: why not just use getRootDir()? '",'DESIGN'
"'//  TODO: lossy conversion! '",'IMPLEMENTATION'
"'//  TODO: remove the copy after ORC-158 and ORC-197 '",'DESIGN'
"'//  TODO: If the DB name doesn\\'t match with the metadata from dump then need to rewrite the original and expanded   texts using new DB name. Currently it refers to the source database name. '",'DESIGN'
"'//  TODO: remove this constructor '",'DESIGN'
"'//  TODO: add the ability to extractFileTail to read from multiple buffers? '",'DESIGN'
"'//  TODO : instead of simply restricting by message format we should eventually   move to a jdbc-driver-stype registering of message format and picking message   factory per event to decode. For now however since all messages have the   same factory restricting by message format is effectively a guard against   older leftover data that would cause us problems. '",'DESIGN'
"'//  TODO: When hive moves to java8 make updateTimezone() as default method in '",'DESIGN'
"'//  Not strictly necessary noone will look at it. '",'IMPLEMENTATION'
"'//  2**exponent part is scaling down while 10**scale is scaling up.   Now it\\'s tricky.   unscaledValue = significand * 10**scale / 2**twoScaleDown '",'DESIGN'
"'//  TODO CAT - I am fairly certain that most calls to this are in error.  This should only be   used when the database location is unset which should never happen except when a   new database is being created.  Once I have confirmation of this change calls of this to   getDatabasePath() since it does the right thing.  Also merge this with   determineDatabasePath() as it duplicates much of the logic. '",'DESIGN'
"'//  TODO: Should this be the concern of the mutator? '",'DESIGN'
"'//  TODO: Provide support for reporting errors   This should never happen as server always returns a valid status on success '",'DESIGN'
"'/*  TODO: ideally when the splits UDF is made a proper API coordinator should not   *        be managed as a global. HS2 should create it and then pass it around.  */'",'DESIGN'
"'//  TODO: convert sqlState etc. '",'IMPLEMENTATION'
"'//  TODO Include EXTERNAL_PREEMPTION in this list? '",'IMPLEMENTATION'
"'//  To workaround AvroUTF8 '",'DESIGN'
"'//  TODO needs to go in InitializeInput? as part of InputJobInfo '",'DESIGN'
"'//  Note that this logic may drop some of the tables of the database   even if the drop database fail for any reason   TODO: Fix this '",'DEFECT'
"'//  Some walkers extending DefaultGraphWalker e.g. ForwardWalker   do not use opQueue and rely uniquely in the toWalk structure   thus we store the results produced by the dispatcher here   TODO: rewriting the logic of those walkers to use opQueue '",'DESIGN'
"'//  This is a corner case where we have an extract of time unit like day/month pushed as Extraction Fn  @TODO The best way to fix this is to add explicit output Druid types to Calcite Extraction Functions impls '",'DESIGN'
"'//  Workaround for HADOOP-12659 - remove when Hadoop 2.7.X is no longer supported. '",'DESIGN'
"'//  We could pass in the number of nodes that we expect instead of -1.   Also a single concurrent request per node is currently hardcoded. '",'DESIGN'
"'//  TODO: Strangely the default parametrization is to ignore missing tables '",'DESIGN'
"'//  FIXME : should clean up TEST_PATH but not doing it now for debugging\\'s sake '",'DESIGN'
"'//  This will throw error if we close pout early. '",'DESIGN'
"'//  It is not a very clean way and should be modified later - due to   compatibility reasons   user sees the results as json for custom scripts and has no way for   specifying that.   Right now it is hard-coded in the code '",'DESIGN'
"'//  TODO This test passes fine locally but fails on Linux not sure why '",'TEST'
"'//  TODO: SeekableInputStream.readFully eventually calls a Hadoop method that used to be         buggy in 2.7 and also anyway just does a copy for a direct buffer. Do a copy here.   ((SeekableInputStream)stream).readFully(bb); '",'DESIGN'
"'//  TODO: 1) Expand to other functions as needed 2) What about types other than primitive. '",'DESIGN'
"'//  Set footer cache for current split generation. See field comment - not thread safe. '",'DESIGN'
"'//  TODO: the below seem like they should just be combined into partitionDesc '",'DESIGN'
"'//  CallableWithNdc inherits from NDC only when call() is invoked. CallableWithNdc has to   extended to provide access to its ndcStack that is cloned during creation. Until then   we will use reflection to access the private field.   FIXME: HIVE-14243 follow to remove this reflection '",'DESIGN'
"'//  TODO: this is brittle. Who said everyone has to upgrade using upgrade process? '",'DESIGN'
"'/*    * Check whether a task can run to completion or may end up blocking on it\\'s sources.   * This currently happens via looking up source state.   * TODO: Eventually this should lookup the Hive Processor to figure out whether   * it\\'s reached a state where it can finish - especially in cases of failures   * after data has been fetched.   *   * @return true if the task can finish false otherwise    */'",'DESIGN'
"'//  UNDONE: How to look for all NULLs in a multi-key?????  Let nulls through for now. '",'DESIGN'
"'//  Note: this can still conflict with parallel transactions. We do not currently handle         parallel changes from two admins (by design :(). '",'DESIGN'
"'//  TODO: time good enough for now - we\\'ll likely improve this.   We may also work in something the equivalent of pid thrid and move to nanos to ensure   uniqueness. '",'DESIGN'
"'//  FIXME: somehow place pointers that re-execution compilation have failed; the query have been successfully compiled before? '",'DESIGN'
"'//  UNDONE: Haven\\'t finished isRepeated '",'DESIGN'
"'//  hack instead figure out a way to get the db paths '",'DESIGN'
"'// TODO: support complex types   for complex type we simply return 0 '",'DESIGN'
"'//  TODO: the control flow for this needs to be defined. Hive is supposed to be thread-local. '",'IMPLEMENTATION'
"'// todo: should be at the top of the file... '",'DESIGN'
"'//  Get rid of TOK_SELEXPR '",'DESIGN'
"'//  Clear the work map after build. TODO: remove caching instead? '",'IMPLEMENTATION'
"'//  DO_NOT_UPDATE_STATS is supposed to be a transient parameter that is only passed via RPC   We want to avoid this property from being persistent.     NOTE: If this property *is* set as table property we will remove it which is incorrect but   we can\\'t distinguish between these two cases     This problem was introduced by HIVE-10228. A better approach would be to pass the property '",'DESIGN'
"'//  This is using the payload from the RootVertexInitializer corresponding   to InputName. Ideally it should be using it\\'s own configuration class -   but that '",'DESIGN'
"'//  like HiveHBaseTableInputFormat cannot be used with this (todo) '",'DESIGN'
"'//  @deprecated in favour of {@link HCatTable.#collectionItemsTerminatedBy()}. To be removed in Hive 0.16. '",'DESIGN'
"'//  TODO: Once HBASE-11163 is completed use that API or switch to   using mapreduce version of the APIs. rather than mapred   Copied from HBase\\'s TableMapreduceUtil since it is not public API '",'DESIGN'
"'//  TODO: Fetch partitions in batches?   TODO: Threadpool to process partitions? '",'IMPLEMENTATION'
"'//  TODO : simple wrap & rethrow for now clean up with error codes '",'DESIGN'
"'// todo: add method to only get current i.e. skip history - more efficient '",'DESIGN'
"'/*  * Simple wrapper of object with ObjectInspector. *  * TODO: we need to redefine the hashCode and equals methods so that it can be * put into a HashMap as a key. *  * This class also serves as a facility for a function that returns both an * object and an ObjectInspector.  */'",'DESIGN'
"'//  The ordering of types here is used to determine which numeric types   are common/convertible to one another. Probably better to rely on the   ordering explicitly defined here than to assume that the enum values   that were arbitrarily assigned in PrimitiveCategory work for our purposes. '",'DESIGN'
"'//  Something else is wrong '",'DESIGN'
"'//  TODO: Comments in RexShuttle.visitCall() mention other   types in this category. Need to resolve those together   and preferably in the base class RexShuttle. '",'DESIGN'
"'//  TODO: Verify if this is needed (Why can\\'t it be always null/empty '",'DESIGN'
"'//  is the outer join that we saw most recently is a right outer join? '",'DESIGN'
"'//  TODO: this relies on HDFS not changing the format; we assume if we could get inode ID this         is still going to work. Otherwise file IDs can be turned off. Later we should use         as public utility method in HDFS to obtain the inode-based path. '",'DESIGN'
"'//  TODO: should it rather do a prefix? '",'DESIGN'
"'/*    * TODO This method is temporary. Ideally Hive should only need to pass to Tez the amount of memory   *      it requires to do the map join and Tez should take care of figuring out how much to allocate   * Adjust the percentage of memory to be reserved for the processor from Tez   * based on the actual requested memory by the Map Join i.e. HIVECONVERTJOINNOCONDITIONALTASKTHRESHOLD   * @return the adjusted percentage    */'",'DESIGN'
"'//  A hack to verify that authorization check passed. Exception can be thrown be cause   the functions are not being called with valid params.   verify that exception has come from ObjectStore code which means that the '",'DESIGN'
"'//  TODO: should this use getUserFromAuthenticator? '",'DESIGN'
"'// TODO: Move this to calcite '",'DESIGN'
"'//  TODO: add this to metadatareader in ORC - SI => metadata buffer not just metadata. '",'IMPLEMENTATION'
"'//  TODO: This should come from type system; Currently there is no definition '",'DESIGN'
"'//  TODO At the moment there\\'s no way of knowing whether a query is running or not.   A race is possible between dagComplete and registerFragment - where the registerFragment   is processed after a dagCompletes.   May need to keep track of completed dags for a certain time duration to avoid this.   Alternately - send in an explicit dag start message before any other message is processed.   Multiple threads communicating from a single AM gets in the way of this. '",'DESIGN'
"'/*     Should we allow writing to non-transactional tables in an explicit transaction?  The user may    issue ROLLBACK but these tables won\\'t rollback.    Can do this by checking ReadEntity/WriteEntity to determine whether it\\'s reading/writing    any non acid and raise an appropriate error    * Driver.acidSinks and Driver.transactionalInQuery can be used if any acid is in the query */'",'DESIGN'
"'//  TODO: implement? '",'IMPLEMENTATION'
"'// todo: what is this checking???? '",'IMPLEMENTATION'
"'//  I think this is wrong the drop table statement should come on the table topic not the   DB topic - Alan. '",'DESIGN'
"'//  TODO: rather Tez sessions should not depend on SessionState. '",'DESIGN'
"'//  todo: support tez/vectorization '",'IMPLEMENTATION'
"'//  TODO: read this somewhere useful like the task scheduler '",'DESIGN'
"'//  TODO Add support for serialization of values here '",'IMPLEMENTATION'
"'//  TODO: Convert genIncludedColumns and setSearchArgument to use TypeDescription. '",'DESIGN'
'\'//  TODO: when this code is a little less hot change most logs to debug.   We will determine what to do under lock and then do stuff outside of the lock.   The approach is state-based. We consider the task to have a duck when we have decided to   give it one; the sends below merely fix the discrepancy with the actual state. We may add the   ability to wait for LLAPs to positively ack the revokes in future.   The \\"procedural\\" approach requires that we track the ducks traveling on network   concurrent terminations etc. So while more precise it\\\'s much more complex. \'','DESIGN'
"'//  TODO: why doesn\\'t this use context? '",'DESIGN'
"'//  Note: this is redundant with types '",'DESIGN'
"'//  The following 2 lines are exactly what MySQL does TODO: why do we do this? '",'DESIGN'
"'//  temporary variable for testing. This is added just to turn off this feature in case of a bug in   deployment. It has not been documented in hive-default.xml intentionally this should be removed '",'DESIGN'
"'//  TODO need session handle '",'IMPLEMENTATION'
"'//  This is kind of hacky - the read entity contains the old table whereas   the write entity   contains the new table. This is needed for rename - both the old and the   new table names are   passed '",'DESIGN'
"'//  UNDONE: For now don\\'t add more small keys... '",'DESIGN'
"'//  TODO: can this ever happen? '",'DESIGN'
"'//  TODO: there\\'s a potential problem here if some table uses external schema like Avro         with a very large type name. It seems like the view does not derive the SerDe from         the table so it won\\'t be able to just get the type from the deserializer like the         table does; we won\\'t be able to properly store the type in the RDBMS metastore. '",'DESIGN'
"'//  TODO: this should depends on input format and be in a map or something. '",'DESIGN'
"'//  TODO: we can actually consider storing ALL the delta encoded row offsets - not a lot of         overhead compared to the data itself and with row offsets we could use columnar         blocks for inconsistent splits. We are not optimizing for inconsistent splits for now. '",'DESIGN'
"'//  TODO: should this just use physical IDs? '",'DESIGN'
"'//  TODO: wtf?!! why is this in this method? This has nothing to do with anything. '",'DESIGN'
"'//  This class isn\\'t used and I suspect does totally the wrong thing.  It\\'s only here so that I   can provide some output format to the tables and partitions I create.  I actually write to '",'DESIGN'
"'//  TODO: does arg need type cast? '",'DESIGN'
"'// what??!! '",'DESIGN'
"'//  TODO not sure this is the right exception '",'DESIGN'
"'//  we need to convert the Hive type to the SQL type name   TODO: this would be better handled in an enum '",'DESIGN'
"'//  TODO: NPE should not be thrown '",'IMPLEMENTATION'
"'//  CONSIDER: Allocate a larger initial size. '",'DESIGN'
